"Player","Team","ATT","CMP","YDS","TDS","INTS","ATT","YDS","TDS","FL","FPTS"
"Cooper Rush","DAL","20.0","12.3","130.9","0.6","0.3","1.6","7.7","0.0","0.0","8.0"
"Brian Hoyer","NE","18.1","11.0","138.3","0.6","0.7","2.6","4.3","0.1","0.1","7.5"
"Drew Stanton","CLE","19.2","11.5","147.2","0.6","0.9","1.9","6.8","0.0","0.0","7.5"
"Chad Henne","KC","16.5","10.5","126.1","0.6","0.2","1.9","2.8","0.0","0.0","7.2"
"DeShone Kizer","GB","18.5","11.0","119.2","0.5","0.5","2.0","10.3","0.1","0.1","7.0"
"Taylor Heinicke","CAR","18.6","12.2","125.1","0.5","0.6","1.6","7.0","0.1","0.0","6.9"
"Jacoby Brissett","IND","17.0","10.6","115.5","0.6","0.4","1.8","6.4","0.0","0.0","6.9"
"Mike Glennon","OAK","18.9","12.3","142.1","0.7","0.5","1.6","1.6","0.0","0.5","6.5"
"Colt McCoy","WAS","15.0","9.3","109.7","0.7","0.3","0.3","1.3","0.0","0.0","6.5"
"AJ McCarron","HOU","15.2","9.5","109.7","0.7","0.4","1.9","2.8","0.0","0.1","6.3"
"Matt Schaub","ATL","16.0","10.1","101.5","0.6","0.3","1.2","3.1","0.0","0.1","5.9"
"Sean Mannion","MIN","13.6","8.3","93.1","0.3","0.1","2.3","4.6","0.1","0.1","5.3"
"Tom Savage","DET","11.7","7.2","119.3","0.5","0.6","1.4","1.4","0.0","0.4","5.2"
"Ryan Finley","CIN","11.3","6.6","76.0","0.4","0.4","0.3","1.0","0.0","0.1","3.9"
"Geno Smith","SEA","6.0","4.0","46.3","0.3","0.0","1.7","5.3","0.0","0.5","2.7"
"Alex Smith","WAS","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Cardale Jones","LAC","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Nick Fitzgerald","TB","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Jake Rudock","MIA","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Brett Rypien","DEN","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Tyler Bray","CHI","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Davis Webb","NYJ","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Tyree Jackson","BUF","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Kevin Hogan","DEN","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Easton Stick","LAC","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Chad Kelly","IND","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Kyle Lauletta","NYG","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Clayton Thorson","PHI","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Trace McSorley","BAL","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"David Fales","DET","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Luke Falk","NYJ","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Mike White","DAL","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Logan Woodside","TEN","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Joe Webb","HOU","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Cody Kessler","PHI","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Alex McGough","JAC","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Tim Boyle","GB","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Alex Tanney","NYG","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Nathan Peterman","OAK","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Kyle Sloter","MIN","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Brandon Allen","LAR","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Tanner Lee","JAC","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Danny Etling","NE","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Garrett Gilbert","CLE","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Kyle Allen","CAR","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Mason Rudolph","PIT","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Jarrett Stidham","NE","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
""
""
